HotStream,ColdStream,Stage,HeatLoad,Area,TempHot_IN,TempHot_OUT,TempCold_IN,TempCold_OUT
H1,C1,1,169.73528324089247,18.889322681354088,394.99999999999994,352.5661783464928,315.9673271652105,340.5604022158007
H1,C1,2,10.23695963125497,1.111522756525846,352.5661783464928,350.00693798386874,293.0,315.9673271652105
H1,C2,1,3.3731363801748227e-06,4.1855401036254946e-07,394.99999999999994,352.5661783464928,323.00000018649655,341.6336828063589
H1,C2,2,1.8192411217998988e-06,3.2179308384393756e-07,352.5661783464928,350.00693798386874,323.0,323.00000018649655
H2,C1,1,76.19546726500887,7.016818091316599,405.0,361.2446183182506,315.9673271652105,340.5604022158007
H2,C1,2,219.43631202085038,28.820551377814652,361.2446183182506,324.67189964048816,293.0,315.9673271652105
H2,C2,1,186.3368228254873,18.727893545423026,405.0,361.2446183182506,323.00000018649655,341.6336828063589
H1,CU,-,28.027751935475095,0.2207197683955457,350.00693798386874,288.0,278.0,343.0
H2,CU,-,220.03139784292918,53.78588814485806,324.67189964048816,288.0,278.0,288.0
HU,C1,-,424.3959778419932,13.49298487014063,520.0,520.0,340.5604022158007,383.0
HU,C2,-,413.6631719364109,13.193011820545838,520.0,520.0,341.6336828063589,383.0
